Desired angle	Error angle	Angle	Position	Average angle velocity	Average rail velocity	Motor output	Time
38.2500000000	0.0000000000	100.0000000000	0.0000000000	0.0000000000	0.0000000000	0.00	0
0.00	45.00	-45.00	-3	0.0222222222	0.0000000000	255.00	10
0.00	45.00	-45.00	-17	0.0219780220	-0.1208791209	255.00	16
0.00	44.00	-44.00	-79	0.0329670330	-0.8571428571	255.00	21
0.00	41.00	-41.00	-175	0.0549450549	-1.9010989011	255.00	31
0.00	39.00	-39.00	-291	0.0769230769	-3.1758241758	255.00	41
0.00	37.00	-37.00	-418	0.0989010989	-4.5714285714	255.00	51
0.00	34.00	-34.00	-562	0.1318681319	-6.1428571429	255.00	61
0.00	32.00	-32.00	-710	0.1538461538	-7.7802197802	255.00	71
0.00	30.00	-30.00	-859	0.1758241758	-9.4065934066	255.00	81
0.00	27.00	-27.00	-1012	0.1978021978	-11.0989010989	255.00	91
0.00	25.00	-25.00	-1170	0.2222222222	-12.8555555556	255.00	101
0.00	23.00	-23.00	-1331	0.2333333333	-13.9000000000	255.00	111
0.00	21.00	-21.00	-1490	0.2222222222	-14.6000000000	255.00	121
0.00	19.00	-19.00	-1655	0.2222222222	-15.1444444444	255.00	131
0.00	16.00	-16.00	-1820	0.2333333333	-15.5666666667	255.00	141
0.00	14.00	-14.00	-1982	0.2222222222	-15.7777777778	255.00	151
0.00	13.00	-13.00	-2147	0.2111111111	-15.9555555556	255.00	161
0.00	10.00	-10.00	-2312	0.2222222222	-16.1444444444	255.00	171
0.00	8.00	-8.00	-2475	0.2111111111	-16.2444444444	255.00	181
0.00	7.00	-7.00	-2641	0.2000000000	-16.3333333333	255.00	191
0.00	4.00	-4.00	-2807	0.2111111111	-16.3888888889	255.00	201
0.00	3.00	-3.00	-2972	0.2000000000	-16.4777777778	255.00	211
0.00	1.00	-1.00	-3141	0.2000000000	-16.5111111111	255.00	221
0.00	-1.00	1.00	-3307	0.1888888889	-16.5222222222	229.00	231
0.00	-4.00	4.00	-3468	0.2000000000	-16.5222222222	155.00	241
0.00	-6.00	6.00	-3631	0.2111111111	-16.4888888889	103.00	251
0.00	-7.00	7.00	-3789	0.1888888889	-16.4222222222	-113.00	261
0.00	-9.00	9.00	-3917	0.1910112360	-16.2134831461	-165.00	270
0.00	-11.00	11.00	-4038	0.2022471910	-15.7078651685	-216.00	280
0.00	-12.00	12.00	-4119	0.1797752809	-14.7752808989	-248.00	290
0.00	-14.00	14.00	-4113	0.1910112360	-12.8426966292	-255.00	300
0.00	-11.00	11.00	-4050	0.1348314607	-10.2584269663	-239.00	310
0.00	-9.00	9.00	-3952	0.0898876404	-7.3033707865	-197.00	320
0.00	-8.00	8.00	-3856	0.0449438202	-4.4044943820	-179.00	330
0.00	-7.00	7.00	-3753	0.0112359551	-1.4269662921	-159.00	340
0.00	-5.00	5.00	-3643	-0.0224719101	1.6067415730	-114.00	350
0.00	-4.00	4.00	-3545	-0.0555555556	4.0888888889	96.00	360
0.00	-3.00	3.00	-3449	-0.0888888889	6.5000000000	118.00	370
0.00	-2.00	2.00	-3364	-0.1111111111	8.3777777778	141.00	380
0.00	0.00	0.00	-3296	-0.1555555556	9.0666666667	189.00	390
0.00	-1.00	1.00	-3266	-0.1111111111	8.7111111111	164.00	400
0.00	-1.00	1.00	-3269	-0.0888888889	7.6111111111	164.00	410
0.00	-1.00	1.00	-3286	-0.0777777778	6.3555555556	163.00	420
0.00	-1.00	1.00	-3308	-0.0666666667	4.9666666667	162.00	430
0.00	-2.00	2.00	-3333	-0.0333333333	3.4555555556	137.00	440
0.00	-2.00	2.00	-3369	-0.0222222222	1.9888888889	136.00	450
0.00	-3.00	3.00	-3405	0.0000000000	0.5222222222	110.00	460
0.00	-3.00	3.00	-3444	0.0111111111	-0.8666666667	108.00	470
0.00	-4.00	4.00	-3484	0.0444444444	-2.0777777778	-107.00	480
0.00	-5.00	5.00	-3525	0.0444444444	-2.8666666667	-134.00	490
0.00	-5.00	5.00	-3558	0.0444444444	-3.2000000000	-137.00	500
0.00	-6.00	6.00	-3575	0.0555555556	-3.2111111111	-165.00	510
0.00	-6.00	6.00	-3576	0.0555555556	-2.9777777778	-169.00	520
0.00	-6.00	6.00	-3566	0.0444444444	-2.5888888889	-172.00	530
0.00	-6.00	6.00	-3544	0.0444444444	-1.9666666667	-176.00	540
0.00	-5.00	5.00	-3514	0.0222222222	-1.2222222222	-155.00	550
0.00	-5.00	5.00	-3475	0.0222222222	-0.3555555556	-159.00	560
0.00	-4.00	4.00	-3433	0.0000000000	0.5555555556	-137.00	570
0.00	-4.00	4.00	-3387	-0.0111111111	1.5222222222	-140.00	580
0.00	-4.00	4.00	-3340	-0.0111111111	2.4000000000	-142.00	590
0.00	-3.00	3.00	-3290	-0.0333333333	3.1555555556	-120.00	600
0.00	-3.00	3.00	-3240	-0.0333333333	3.7222222222	-121.00	610
0.00	-2.00	2.00	-3188	-0.0444444444	4.1888888889	-99.00	620
0.00	-2.00	2.00	-3135	-0.0444444444	4.5444444444	-100.00	630
0.00	-1.00	1.00	-3083	-0.0444444444	4.7777777778	111.00	640
0.00	-1.00	1.00	-3037	-0.0444444444	4.8666666667	111.00	650
0.00	0.00	0.00	-3000	-0.0444444444	4.8111111111	135.00	660
0.00	0.00	0.00	-2976	-0.0444444444	4.5777777778	135.00	670
0.00	0.00	0.00	-2963	-0.0444444444	4.2000000000	135.00	680
0.00	0.00	0.00	-2958	-0.0333333333	3.7000000000	135.00	690
0.00	-1.00	1.00	-2960	-0.0222222222	3.1222222222	110.00	700
0.00	-1.00	1.00	-2968	-0.0111111111	2.4666666667	110.00	710
0.00	-1.00	1.00	-2982	-0.0111111111	1.7222222222	109.00	720
0.00	-2.00	2.00	-3002	0.0111111111	0.9222222222	-105.00	730
0.00	-2.00	2.00	-3019	0.0111111111	0.2000000000	-106.00	740
0.00	-2.00	2.00	-3029	0.0222222222	-0.3111111111	-107.00	750
0.00	-3.00	3.00	-3033	0.0333333333	-0.6333333333	-133.00	760
0.00	-3.00	3.00	-3033	0.0333333333	-0.7777777778	-135.00	770
0.00	-3.00	3.00	-3031	0.0333333333	-0.8111111111	-137.00	780
0.00	-3.00	3.00	-3023	0.0222222222	-0.7000000000	-138.00	790
0.00	-3.00	3.00	-3005	0.0222222222	-0.4333333333	-140.00	800
0.00	-3.00	3.00	-2982	0.0222222222	-0.0111111111	-142.00	810
0.00	-3.00	3.00	-2955	0.0111111111	0.5000000000	-144.00	820
0.00	-2.00	2.00	-2926	0.0000000000	1.0333333333	-121.00	830
0.00	-2.00	2.00	-2891	0.0000000000	1.5333333333	-123.00	840
0.00	-2.00	2.00	-2854	-0.0111111111	1.9777777778	-124.00	850
0.00	-2.00	2.00	-2815	-0.0111111111	2.4111111111	-125.00	860
0.00	-1.00	1.00	-2775	-0.0222222222	2.8333333333	-102.00	870
0.00	-1.00	1.00	-2733	-0.0222222222	3.2111111111	-103.00	880
0.00	-1.00	1.00	-2691	-0.0222222222	3.4888888889	-103.00	890
0.00	0.00	0.00	-2651	-0.0333333333	3.6666666667	110.00	900
0.00	0.00	0.00	-2614	-0.0333333333	3.7888888889	110.00	910
0.00	0.00	0.00	-2585	-0.0222222222	3.7777777778	110.00	920
0.00	0.00	0.00	-2567	-0.0222222222	3.6000000000	110.00	930
0.00	0.00	0.00	-2558	-0.0222222222	3.3000000000	110.00	940
0.00	0.00	0.00	-2554	-0.0222222222	2.9111111111	110.00	950
0.00	0.00	0.00	-2556	-0.0111111111	2.4444444444	110.00	960
0.00	-1.00	1.00	-2557	0.0000000000	1.9666666667	-104.00	970
0.00	-1.00	1.00	-2565	0.0000000000	1.4111111111	-105.00	980
0.00	-1.00	1.00	-2570	0.0111111111	0.9111111111	-105.00	990
0.00	-2.00	2.00	-2572	0.0222222222	0.4777777778	-130.00	1000
0.00	-2.00	2.00	-2568	0.0222222222	0.2000000000	-132.00	1010
0.00	-2.00	2.00	-2556	0.0222222222	0.1111111111	-133.00	1020
0.00	-2.00	2.00	-2540	0.0222222222	0.2000000000	-134.00	1030
0.00	-2.00	2.00	-2519	0.0222222222	0.3777777778	-135.00	1040
0.00	-2.00	2.00	-2495	0.0222222222	0.6666666667	-137.00	1050
0.00	-2.00	2.00	-2467	0.0111111111	0.9888888889	-138.00	1060
0.00	-1.00	1.00	-2436	0.0000000000	1.4333333333	-115.00	1070
0.00	-1.00	1.00	-2401	0.0000000000	1.8666666667	-115.00	1080
0.00	-1.00	1.00	-2365	-0.0111111111	2.2888888889	-116.00	1090
0.00	-1.00	1.00	-2327	-0.0111111111	2.6666666667	-116.00	1100
0.00	-1.00	1.00	-2288	-0.0111111111	2.9777777778	-117.00	1110
0.00	0.00	0.00	-2248	-0.0222222222	3.2444444444	96.00	1120
0.00	0.00	0.00	-2211	-0.0222222222	3.4222222222	96.00	1130
0.00	0.00	0.00	-2181	-0.0222222222	3.5000000000	96.00	1140
0.00	0.00	0.00	-2160	-0.0222222222	3.4222222222	96.00	1150
0.00	0.00	0.00	-2147	-0.0111111111	3.2111111111	96.00	1160
0.00	0.00	0.00	-2139	-0.0111111111	2.9222222222	96.00	1170
0.00	0.00	0.00	-2139	-0.0111111111	2.5222222222	96.00	1180
0.00	0.00	0.00	-2142	-0.0111111111	2.0666666667	96.00	1190
0.00	-1.00	1.00	-2151	0.0000000000	1.5333333333	-118.00	1200
0.00	-1.00	1.00	-2160	0.0111111111	0.9777777778	-118.00	1210
0.00	-1.00	1.00	-2168	0.0111111111	0.4888888889	-119.00	1220
0.00	-2.00	2.00	-2163	0.0222222222	0.2000000000	-144.00	1230
0.00	-2.00	2.00	-2155	0.0222222222	0.0555555556	-145.00	1240
0.00	-2.00	2.00	-2139	0.0222222222	0.0888888889	-147.00	1250
0.00	-2.00	2.00	-2120	0.0222222222	0.2111111111	-148.00	1260
0.00	-2.00	2.00	-2095	0.0222222222	0.4777777778	-149.00	1270
0.00	-2.00	2.00	-2066	0.0222222222	0.8333333333	-150.00	1280
0.00	-1.00	1.00	-2034	0.0000000000	1.3000000000	-127.00	1290
0.00	-1.00	1.00	-1997	0.0000000000	1.8000000000	-128.00	1300
0.00	-1.00	1.00	-1960	0.0000000000	2.3000000000	-128.00	1310
0.00	-1.00	1.00	-1921	-0.0111111111	2.6888888889	-129.00	1320
0.00	-1.00	1.00	-1879	-0.0111111111	3.0555555556	-130.00	1330
0.00	0.00	0.00	-1836	-0.0222222222	3.3555555556	-106.00	1340
0.00	0.00	0.00	-1792	-0.0222222222	3.6333333333	-106.00	1350
0.00	1.00	-1.00	-1746	-0.0333333333	3.8777777778	108.00	1360
0.00	1.00	-1.00	-1703	-0.0333333333	4.0444444444	108.00	1370
0.00	1.00	-1.00	-1669	-0.0222222222	4.0444444444	109.00	1380
0.00	1.00	-1.00	-1647	-0.0222222222	3.9000000000	110.00	1390
0.00	1.00	-1.00	-1634	-0.0222222222	3.6333333333	110.00	1400
0.00	1.00	-1.00	-1627	-0.0222222222	3.2666666667	111.00	1410
0.00	1.00	-1.00	-1626	-0.0222222222	2.8222222222	111.00	1420
0.00	1.00	-1.00	-1628	-0.0111111111	2.3222222222	112.00	1430
0.00	0.00	0.00	-1634	0.0000000000	1.7666666667	-101.00	1440
0.00	0.00	0.00	-1642	0.0111111111	1.1666666667	-101.00	1450
0.00	0.00	0.00	-1649	0.0111111111	0.6000000000	-101.00	1460
0.00	-1.00	1.00	-1648	0.0222222222	0.2444444444	-125.00	1470
0.00	-1.00	1.00	-1637	0.0222222222	0.1111111111	-126.00	1480
0.00	-1.00	1.00	-1623	0.0222222222	0.1222222222	-127.00	1490
